seq_num, beacon_timestamp, beacon_interval (us), timestamp_deviation (us)
2271,60020635768,75245,27155
2272,60020736412,100644,1756
2282,60021250164,102265,135
2283,60021361708,111544,-9144
2290,60021966960,102401,-1
2291,60022088342,121382,-18982
2292,60022171914,83572,18828
2293,60022277766,105852,-3452
2294,60022387251,109485,-7085
2295,60022477199,89948,12452
2296,60022581379,104180,-1780
2297,60022683766,102387,13
2298,60022796384,112618,-10218
2299,60022895594,99210,3190
2302,60023115056,123062,-20662
2303,60023195772,80716,21684
2304,60023298197,102425,-25
2305,60023401140,102943,-543
2306,60023521198,120058,-17658
2307,60023605590,84392,18008
2317,60024014981,102403,-3
2324,60024322897,103105,-705
2325,60024424579,101682,718
2328,60024657345,129694,-27294
2329,60024731794,74449,27951
2330,60024834409,102615,-215
2335,60025151828,99093,3307
2336,60025251028,99200,3200
2337,60025349973,98945,3455
2338,60025568524,218551,-116151
2348,60026063762,104906,-2506
2349,60026166850,103088,-688
2352,60026370625,102662,-262
2353,60026470801,100176,2224
2361,60026882353,77069,25331
2362,60026984613,102260,140
2363,60027087125,102512,-112
2364,60027201731,114606,-12206
2365,60027295178,93447,8953
2366,60027414152,118974,-16574
2367,60027513171,99019,3381
2370,60027703379,106135,-3735
2371,60027836134,132755,-30355
2372,60027907263,71129,31271
2373,60028012035,104772,-2372
2374,60028134908,122873,-20473
2375,60028212309,77401,24999
2376,60028315849,103540,-1140
2377,60028418215,102366,34
2378,60028520619,102404,-4
2379,60028621191,100572,1828
2380,60028738433,117242,-14842
2381,60028844604,106171,-3771
2384,60029053326,123098,-20698
2385,60029133208,79882,22518
2386,60029255745,122537,-20137
2387,60029340208,84463,17937
2390,60029645198,100565,1835
2391,60029750150,104952,-2552
2392,60029871178,121028,-18628
2395,60030056647,84414,17986
2396,60030157214,100567,1833
2397,60030268749,111535,-9135
2398,60030363840,95091,7309
2399,60030568946,205106,-102706
2403,60030978372,86781,15619
2404,60031078798,100426,1974
2405,60031183046,104248,-1848
2406,60031285457,102411,-11
2407,60031416559,131102,-28702
2408,60031508609,92050,10350
2409,60031592795,84186,18214
2410,60031713681,120886,-18486
2411,60031795614,81933,20467
2412,60031919334,123720,-21320
2419,60032207046,103244,-844
2420,60032339576,132530,-30130
2425,60032631732,116852,-14452
2426,60032721925,90193,12207
2427,60032820925,99000,3400
2428,60032930668,109743,-7343
2429,60033026960,96292,6108
2430,60033126792,99832,2568
2437,60033435883,98130,4270
2438,60033541387,105504,-3104
2439,60033640018,98631,3769
2440,60033745941,105923,-3523
2441,60033904613,158672,-56272
2442,60033947861,43248,59152
2443,60034050271,102410,-10
2444,60034158169,107898,-5498
2447,60034459881,104273,-1873
2448,60034562520,102639,-239
2449,60034663916,101396,1004
2450,60034776370,112454,-10054
2451,60034898449,122079,-19679
2454,60035090680,110331,-7931
2455,60035176681,86001,16399
2456,60035290586,113905,-11505
2457,60035381478,90892,11508
2458,60035495552,114074,-11674
2459,60035602074,106522,-4122
2460,60035689366,87292,15108
2461,60035794469,105103,-2703
2472,60036198790,99828,2572
2478,60036411993,108018,-5618
2481,60036608405,96823,5577
2482,60036737942,129537,-27137
2485,60036917494,104302,-1902
2486,60037018788,101294,1106
2489,60037248489,123640,-21240
2492,60037429678,103364,-964
2493,60037531911,102233,167
2494,60037634305,102394,6
2505,60038203845,154129,-51729
2506,60038266622,62777,39623
2507,60038352259,85637,16763
2508,60038555900,203641,-101241
2511,60038767798,47495,54905
2512,60038861223,93425,8975
2517,60039194521,112365,-9965
2518,60039277576,83055,19345
2519,60039377419,99843,2557
2535,60039784720,75787,26613
2536,60039906533,121813,-19413
2537,60039989512,82979,19421
2538,60040194316,204804,-102404
2539,60040312030,117714,-15314
2540,60040418046,106016,-3616
2541,60040511008,92962,9438
2542,60040602522,91514,10886
2543,60040713509,110987,-8587
2544,60040822354,108845,-6445
2545,60040911143,88789,13611
2546,60041014983,103840,-1440
2547,60041122124,107141,-4741
2548,60041234792,112668,-10268
2549,60041320723,85931,16469
2550,60041440431,119708,-17308
2551,60041537821,97390,5010
2552,60041655443,117622,-15222
2558,60041948559,114897,-12497
2559,60042037699,89140,13260
2560,60042138010,100311,2089
2561,60042246696,108686,-6286
2562,60042344935,98239,4161
2566,60042550419,102380,20
2567,60042655700,105281,-2881
2568,60042768507,112807,-10407
2569,60042860864,92357,10043
2570,60042973047,112183,-9783
2571,60043059591,86544,15856
2572,60043163751,104160,-1760
2575,60043368750,97754,4646
2576,60043469191,100441,1959
2577,60043571595,102404,-4
2578,60043684808,113213,-10813
2579,60043806521,121713,-19313
2580,60043881603,75082,27318
2581,60043983271,101668,732
2584,60044196367,110498,-8098
2585,60044290487,94120,8280
2586,60044438585,148098,-45698
2587,60044511215,72630,29770
2588,60044597330,86115,16285
2589,60044728313,130983,-28583
2590,60044833994,105681,-3281
2591,60044917918,83924,18476
2592,60045027099,109181,-6781
2593,60045132887,105788,-3388
2594,60045237196,104309,-1909
2595,60045317254,80058,22342
2596,60045416757,99503,2897
2597,60045519176,102419,-19
2598,60045621595,102419,-19
2608,60045931705,105645,-3245
2609,60046100334,168629,-66229
2610,60046153408,53074,49326
2611,60046237351,83943,18457
2618,60046663981,109117,-6717
2627,60047056760,83687,18713
2628,60047165975,109215,-6815
2629,60047322377,156402,-54002
2630,60047362374,39997,62403
2639,60047976797,86709,15691
2640,60048077214,100417,1983
2641,60048179595,102381,19
2659,60048912021,115561,-13161
2660,60049001191,89170,13230
2661,60049102207,101016,1384
2662,60049226382,124175,-21775
2663,60049310774,84392,18008
2668,60049627688,109722,-7322
2671,60049819995,101737,663
2672,60049922404,102409,-9
2673,60050024796,102392,8
2674,60050127216,102420,-20
2679,60050338119,59860,42540
2680,60050434842,96723,5677
2681,60050535028,100186,2214
2682,60050639939,104911,-2511
2683,60050751626,111687,-9287
2686,60050946562,104561,-2161
2687,60051047718,101156,1244
2688,60051151207,103489,-1089
2689,60051254756,103549,-1149
2690,60051355484,100728,1672
2691,60051458412,102928,-528
2692,60051558799,100387,2013
2693,60051662722,103923,-1523
2694,60051766586,103864,-1464
2695,60051886475,119889,-17489
2696,60051970413,83938,18462
2697,60052076247,105834,-3434
2698,60052184288,108041,-5641
2699,60052298519,114231,-11831
2700,60052380025,81506,20894
2703,60052585350,101766,634
2704,60052687920,102570,-170
2709,60052892040,104022,-1622
2719,60053219029,122197,-19797
2720,60053321009,101980,420
2725,60053606813,98052,4348
2726,60053717284,110471,-8071
2729,60053913994,76690,25710
2730,60054018584,104590,-2190
2731,60054120840,102256,144
2732,60054231812,110972,-8572
2743,60054733668,81471,20929
2744,60054838016,104348,-1948
2745,60054938013,99997,2403
2746,60055042448,104435,-2035
2747,60055144907,102459,-59
2748,60055245190,100283,2117
2749,60055349697,104507,-2107
2750,60055554443,204746,-102346
2751,60055671034,116591,-14191
2752,60055759280,88246,14154
2753,60055877495,118215,-15815
2754,60055976993,99498,2902
2758,60056192299,117806,-15406
2759,60056277997,85698,16702
2760,60056386568,108571,-6171
2761,60056473991,87423,14977
2762,60056576393,102402,-2
2769,60056995482,110628,-8228
2770,60057104194,108712,-6312
2771,60057191775,87581,14819
2772,60057301458,109683,-7283
2773,60057395591,94133,8267
2774,60057497998,102407,-7
2775,60057600390,102392,8
2776,60057703844,103454,-1054
2777,60057806781,102937,-537
2778,60057908056,101275,1125
2779,60058032532,124476,-22076
2780,60058112416,79884,22516
2781,60058245094,132678,-30278
2782,60058319274,74180,28220
2783,60058419715,100441,1959
2784,60058561484,141769,-39369
2785,60058626488,65004,37396
2786,60058735895,109407,-7007
2787,60058844510,108615,-6215
2788,60058952059,107549,-5149
2789,60059036072,84013,18387
2790,60059164478,128406,-26006
2805,60059656446,85508,16892
2808,60059857879,80637,21763
2811,60060057991,102391,9
2812,60060160984,102993,-593
2815,60060397826,132936,-30536
2816,60060589354,191528,-89128
2817,60060673711,84357,18043
2818,60060807830,134119,-31719
2819,60060879288,71458,30942
2835,60061390473,91940,10460
2836,60061514758,124285,-21885
2839,60061699962,102893,-493
2840,60061836754,136792,-34392
2841,60061904041,67287,35113
2842,60062057203,153162,-50762
2843,60062109884,52681,49719
2844,60062210505,100621,1779
2847,60062415300,104280,-1880
2853,60062722392,88644,13756
2856,60062927304,102401,-1
2857,60063029715,102411,-11
2858,60063131062,101347,1053
2864,60063439309,100468,1932
2865,60063544880,105571,-3171
