3664 899557990787 102400 0
3667 899558297987 102400 0
3668 899558400387 102400 0
3669 899558504456 104069 -1669
3670 899558605187 100731 1669
3671 899558707587 102400 0
3672 899558809987 102400 0
3673 899558912387 102400 0
3674 899559014787 102400 0
3677 899559322163 102576 -176
3678 899559424555 102392 8
3679 899559526941 102386 14
3680 899559629187 102246 154
3681 899559731587 102400 0
3682 899559833987 102400 0
3683 899559936387 102400 0
3684 899560038787 102400 0
3685 899560141187 102400 0
3686 899560243587 102400 0
3687 899560345987 102400 0
