seq_num, beacon_timestamp, beacon_interval, timestamp_deviation
2709,899091456437,102273,127
2710,899091558846,102409,-9
2722,899092790523,105336,-2936
2723,899092893522,102999,-599
2724,899092995180,101658,742
2725,899093095603,100423,1977
2728,899093401987,102400,0
2738,899094426119,102532,-132
2739,899094528387,102268,132
2740,899094630787,102400,0
2743,899094937987,102388,12
2744,899095040533,102546,-146
2745,899095142787,102254,146
2746,899095245187,102400,0
2747,899095347715,102528,-128
2748,899095450054,102339,61
2751,899095757192,102360,40
2752,899095859587,102395,5
2753,899095961987,102400,0
2754,899096064387,102400,0
2755,899096166901,102514,-114
2756,899096270211,103310,-910
2757,899096371643,101432,968
2760,899096679060,102673,-273
2761,899096781187,102127,273
2764,899097088387,102400,0
2767,899097395587,102396,4
2768,899097498000,102413,-13
2771,899097806836,104049,-1649
2774,899098009987,102400,0
2775,899098112933,102946,-546
2776,899098214876,101943,457
2781,899098727106,102719,-319
2785,899099136387,102400,0
2788,899099443587,102400,0
2791,899099750787,102400,0
2792,899099853746,102959,-559
2793,899099955587,101841,559
2802,899100877409,102422,-22
2811,899101798787,102147,253
2812,899101901196,102409,-9
2813,899102003587,102391,9
2814,899102105987,102400,0
2815,899102210162,104175,-1775
2818,899102515705,102518,-118
2819,899102620002,104297,-1897
2829,899103641987,102400,0
2840,899104772396,102657,-257
2841,899104870787,98391,4009
2844,899105178107,102520,-120
2845,899105280417,102310,90
2848,899105587749,102378,22
2849,899105689987,102238,162
2853,899106099695,102341,59
2856,899106406787,102312,88
2857,899106509342,102555,-155
2862,899107021187,102400,0
2865,899107328388,100693,1707
2868,899107635635,102448,-48
2877,899107942787,102400,0
2887,899108864387,102400,0
2888,899108966813,102426,-26
2889,899109069363,102550,-150
2890,899109171587,102224,176
2891,899109273987,102400,0
2892,899109376387,102400,0
2893,899109478787,102400,0
2894,899109581187,102400,0
2899,899110093248,102443,-43
2902,899110400387,102400,0
2903,899110502904,102517,-117
2904,899110605187,102283,117
2905,899110707587,102400,0
2906,899110809987,102400,0
2907,899110912387,102400,0
2910,899111219738,102158,242
2911,899111321987,102249,151
2912,899111424387,102400,0
2913,899111526788,102401,-1
2914,899111629187,102399,1
2915,899111731607,102420,-20
2918,899112038787,102400,0
2919,899112141187,102400,0
2920,899112245384,104197,-1797
2923,899112550787,102400,0
2924,899112653288,102501,-101
2925,899112755624,102336,64
2928,899113062787,102400,0
2933,899113574787,102400,0
2934,899113677222,102435,-35
2935,899113779587,102365,35
2936,899113882149,102562,-162
2937,899113984546,102397,3
2938,899114086787,102241,159
2939,899114189187,102400,0
2940,899114291587,102400,0
2943,899114598787,102400,0
2944,899114701187,102400,0
2961,899115622787,102280,120
2962,899115725187,102400,0
2963,899115827587,102400,0
2964,899115929987,102400,0
2965,899116032410,102423,-23
2966,899116134901,102491,-91
2967,899116237187,102286,114
2968,899116339587,102400,0
2971,899116646787,102400,0
2976,899117158787,102400,0
2979,899117465987,102027,373
2982,899117773187,102400,0
2983,899117875689,102502,-102
2984,899117977987,102298,102
2985,899118080387,102400,0
2986,899118182787,102400,0
2987,899118285324,102537,-137
2988,899118387587,102263,137
2989,899118489987,102400,0
2990,899118592387,102400,0
2991,899118694787,102400,0
2992,899118797187,102400,0
2993,899118899587,102400,0
2996,899119206787,102400,0
2997,899119309187,102400,0
2998,899119411609,102422,-22
