time_interval_authentication,time_interval_association,time_interval_eapol_first,time_interval_eapol_second
0.0018498897552490234,0.002974271774291992,0.006783008575439453,0.001703500747680664
0.0008454322814941406,0.002672910690307617,0.005704164505004883,0.002166271209716797
0.0013391971588134766,0.0052602291107177734,0.006596803665161133,0.001940011978149414
0.002190828323364258,0.00278472900390625,0.0041866302490234375,0.0015592575073242188
4.0531158447265625e-06,0.0010364055633544922,0.008045673370361328,0.0021240711212158203
0.002016782760620117,0.0029931068420410156,0.004280567169189453,0.0015630722045898438
1.9073486328125e-06,0.0010750293731689453,0.004967689514160156,0.0018448829650878906
0.0008614063262939453,0.0022478103637695312,0.004923820495605469,0.001462697982788086
0.0004062652587890625,0.0031189918518066406,0.0017316341400146484,0.0011277198791503906
0.002200603485107422,0.004994392395019531,0.00648188591003418,0.0017077922821044922
0.001257181167602539,0.0020418167114257812,0.005026817321777344,0.0018079280853271484
0.00543522834777832,0.00575709342956543,0.00681757926940918,0.0021734237670898438
0.003368854522705078,0.003922224044799805,0.00487971305847168,0.0016269683837890625
1.9073486328125e-06,0.0038607120513916016,0.002973794937133789,0.0017726421356201172
0.00555872917175293,0.004313468933105469,0.0061435699462890625,0.004034280776977539
1.9073486328125e-06,0.002597332000732422,0.006104707717895508,0.0020928382873535156
0.0036454200744628906,0.004599094390869141,0.007021665573120117,0.0018756389617919922
0.0021200180053710938,0.0030341148376464844,0.004483699798583984,0.0034210681915283203
0.0003132820129394531,0.0032117366790771484,0.0029196739196777344,0.0035071372985839844
0.0012178421020507812,0.0013158321380615234,0.0046312808990478516,0.0019605159759521484
0.0018467903137207031,0.0029506683349609375,0.0044689178466796875,0.001558542251586914
0.0025908946990966797,0.0034978389739990234,0.00477147102355957,0.0026693344116210938
0.0016827583312988281,0.004876375198364258,0.0035996437072753906,0.0016193389892578125
0.0026712417602539062,0.004578590393066406,0.008256673812866211,0.0017354488372802734
0.0010921955108642578,0.0036172866821289062,0.006022930145263672,0.0016241073608398438
