102407 102400 344 0 102400 102400 102557 103400
102402 102400 557 0 102400 102410 103305 103419
102429 102400 371 3 102400 102490 102838 103397
102390 102400 94 -9 102400 102400 102400 102400
102381 102400 236 -4 102400 102400 102400 102489
102494 102400 2303 1 102400 102634 105200 109094
102402 102400 952 0 102400 102573 102823 104617
102384 102400 576 1 102400 102445 102544 102668
102438 102400 356 3 102400 102446 102648 103414
102407 102400 497 2 102400 102509 102873 103448
102399 102400 5797 0 102400 102782 103163 104311
102834 102400 4467 8 102400 102490 103467 104730
102344 102400 3466 0 102400 102400 103071 103482
102352 102400 1222 -4 102400 102670 103241 103644
102357 102400 2767 0 102400 102446 102653 103594
102393 102400 264 0 102400 102422 102563 103456
102232 102400 2443 -9 102400 102519 103476 104194
102366 102400 5514 0 102400 102426 103135 104501
102382 102400 1960 0 102400 102400 102531 103494
102417 102400 721 0 102400 102400 102898 103744
102393 102400 287 0 102400 102400 102411 103308
102407 102400 4195 0 102400 102400 103006 103742
102450 102400 1335 4 102400 102400 102495 104685
102436 102400 385 5 102400 102400 102538 103195
102745 102400 2445 6 102400 102400 103154 104029
102437 102400 1090 0 102400 102400 102456 103875
102348 102400 486 -4 102400 102400 102400 102439
102372 102400 428 0 102400 102400 102425 103752
102422 102400 477 3 102400 102400 102404 103620
102414 102400 297 1 102400 102401 102463 103103
102341 102400 310 -5 102400 102400 102400 102416
102442 102400 428 4 102400 102400 102555 103523
102817 102400 4050 9 102400 102400 102438 105147
102403 102400 2581 0 102400 102400 102758 105274
102372 102400 549 0 102400 102400 102400 102471
102421 102400 1611 0 102400 102403 102845 105165
102418 102400 519 2 102400 102400 102400 102667
102284 102400 2678 1 102400 102400 102562 105934
102321 102400 1922 0 102400 102400 102400 102419
102148 102400 3157 -8 102400 102417 103840 105204
102375 102400 1273 1 102400 102400 102417 104628
102428 102400 1835 0 102400 102400 102759 105246
102586 102400 1840 7 102400 102522 104347 105201
102403 102400 503 0 102400 102400 102448 102614
102418 102400 392 2 102400 102400 102496 103278
102135 102400 1770 -5 102400 102400 102688 103288
102394 102400 1581 0 102400 102400 102787 105050
102552 102400 6865 1 102400 102437 103280 122039
102051 102400 2272 -7 102400 102400 102425 103185
102034 102400 2249 -6 102400 102400 102426 103297
102439 102400 5624 0 102400 102443 105882 115084
102209 102400 2341 -5 102400 102400 102401 103366
102403 102400 207 1 102400 102400 102530 102767
101944 102400 3719 -5 102400 102452 103102 104409
102406 102400 302 0 102400 102400 102680 103329
102591 102400 3963 3 102400 102400 103096 105574
102165 102400 2849 -8 102400 102400 103333 103798
102409 102400 571 0 102400 102400 102685 103340
102394 102400 3468 0 102400 102400 102453 105357
102468 102400 905 1 102400 102886 103445 104306
102364 102400 2003 0 102400 102400 102864 104216
102463 102400 590 0 102400 102570 103445 104444
102445 102400 998 0 102400 102402 103433 104619
102379 102400 431 0 102400 102400 102546 103436
102414 102400 2450 0 102400 102473 103617 104521
102895 102400 4666 9 102400 102453 103184 103519
102600 102400 3520 1 102400 102569 103854 116232
102383 102400 971 -2 102400 102420 102817 103302
102381 102400 589 0 102400 102400 103075 103933
102095 102400 3815 -9 102400 102401 103151 104125
