# mean, standard deviation, skew, min, max
102400 12 0 102319 102481
102432 320 9 102360 105624
102421 523 1 99451 105913
102365 351 -9 98887 102575
102401 25 0 102255 102545
102400 27 0 102223 102577
102400 25 0 102259 102541
102401 28 0 102273 102527
102392 292 0 100396 104404
102400 95 0 101739 103061
102400 327 0 100089 104711
102400 322 0 100131 104669
102400 29 0 102241 102559
102387 129 -9 101108 102513
102400 443 0 100279 104521
102400 218 1 101024 104066
102400 167 1 101341 103663
102407 69 9 102309 103080
102400 18 0 102310 102490
102381 385 0 99984 104801
102400 555 0 99160 105640
102428 405 3 100344 105228
102400 271 0 100484 104316
102400 360 0 100553 104247
102399 471 0 99996 104804
102408 336 1 100546 104254
102400 237 0 100726 104074
102401 369 0 100301 104636
102472 973 2 98290 108667
102400 20 -3 102242 102500
102400 164 0 101680 103120
102400 233 0 100855 103945
102400 335 0 100067 104733
102401 41 0 102224 102576
102400 224 0 100779 103939
102388 280 0 100671 104129
102400 526 0 98794 106006
102400 571 0 98547 106253
102399 7 -9 102328 102407
102400 106 0 101657 103143
102400 186 0 101080 103720
102389 154 -2 101362 103094
102400 630 0 97940 106860
102400 404 0 100234 104566
102397 307 0 100302 104482
102379 473 0 100135 104665
102389 103 -9 101387 102562
102382 355 -1 100653 103990
102399 238 0 100691 104033
102400 368 0 100312 104488
102400 153 0 101318 103482
102437 626 2 99864 106181
102406 309 0 100691 104109
102399 511 0 99417 105383
102400 477 0 100283 104517
102390 900 0 99562 106280
102407 509 0 100118 104682
102382 783 0 99121 105679
102427 734 0 98115 106685
102400 485 0 99579 105221
102407 73 9 102377 103135
102397 340 0 100819 103981
102405 318 0 100541 104259
102393 178 0 101555 103245
102400 216 0 100984 103816
102400 411 0 99953 104847
102400 58 0 102030 102770
102400 341 0 100235 104565
102400 59 -1 102047 102629
102427 344 9 101795 105772
102393 378 0 100520 104126
102374 1407 0 93071 111729
102400 1626 0 94785 110059
102395 648 -2 97354 106156
102400 254 0 100606 104194
102379 601 0 98922 105703
102400 262 0 100549 104251
102400 441 0 100692 104108
102398 346 0 100061 104844
102423 966 0 97791 107009
102400 410 0 100029 104914
102419 197 9 102199 104344
102399 249 0 100666 104134
102400 224 0 100836 103964
102400 27 0 102286 102514
102385 157 -7 100940 102758
102399 141 0 101418 103382
102400 32 0 102227 102573
102400 493 0 99536 105264
102371 583 0 98935 106337
102388 432 0 100032 104768
102425 403 2 100246 104966
102400 30 0 102215 102585
102431 391 1 100113 104687
102400 488 0 98946 105854
102367 470 -3 99173 103966
102400 330 0 100064 104736
102371 250 -7 100050 102974
102400 195 0 101015 103785
102385 191 0 101607 103193
102416 142 5 101886 103556
102375 404 -2 99904 104562
102369 333 -9 99096 102729
102404 472 0 99993 104905
102426 695 0 99039 105761
102370 438 -2 99409 104669
102400 378 0 100506 104294
102450 553 3 100487 106105
102414 436 3 100698 105567
102374 448 0 100645 104057
102412 400 0 99940 104860
102408 817 -1 98164 104847
102400 809 0 97349 107451
102406 207 0 101017 103783
102398 98 0 101819 102981
102398 23 0 102257 102543
102409 335 0 100125 104675
102400 0 0 102400 102400
102400 12 0 102314 102486
102400 358 0 99868 104932
102361 384 -9 98550 102564
102374 285 -6 99855 103331
102399 14 0 102299 102501
102408 81 9 102313 103207
102400 2 0 102384 102416
102399 5 -9 102349 102404
102396 36 -9 102033 102404
102399 306 0 100238 104562
102400 275 0 100458 104342
102400 453 0 99805 104995
102400 245 0 100718 104108
102418 184 9 102388 104255
102400 427 0 99699 105101
102367 565 -1 99128 105672
102400 561 0 98436 106364
102315 839 -9 93978 102770
102400 485 0 98976 105824
102398 222 0 101136 103664
102400 24 0 102224 102576
102401 102 0 101703 103097
102398 979 0 95498 109337
102400 172 0 101182 103618
102400 214 0 101306 103494
102435 551 1 99706 105996
102400 12 0 102313 102487
102398 671 0 99155 105645
102422 406 1 99994 104806
102412 425 1 100334 104661
102387 311 0 100414 104446
102400 363 0 99895 104905
102400 31 0 102243 102557
102399 227 0 100801 103999
102397 386 0 100092 104708
102396 363 0 100547 104253
102400 293 0 100647 104179
102400 83 0 101970 102830
102400 288 0 100598 104202
102401 19 9 102400 102596
102400 278 0 100573 104227
102400 147 0 101360 103440
102397 120 1 101625 103276
102400 113 0 101597 103203
102400 127 0 101728 103072
102400 40 0 102131 102669
102400 201 0 101168 103632
102361 523 -3 98542 104690
102400 403 0 100347 104453
102400 131 0 101530 103270
102424 317 2 100737 104422
102441 475 5 100523 106354
102400 188 0 101076 103724
102402 183 0 101212 103588
102390 96 -9 101435 102413
102400 14 0 102314 102486
102400 101 0 101683 103117
102394 74 -1 101988 102778
102398 332 0 100108 104692
102401 263 0 100540 104260
102419 516 0 99826 104958
102417 402 0 100484 104316
102412 438 0 100141 104659
102400 648 0 97929 106871
102358 319 -4 99945 103443
102460 497 2 100107 105496
102400 506 0 100410 104532
102412 619 0 99945 104855
102399 319 0 100148 104655
102400 176 0 101207 103593
102428 761 1 99310 106948
102404 461 0 99890 104910
102410 505 0 100002 104798
102400 23 0 102245 102555
102396 599 0 99757 105057
102379 295 -2 100510 104005
102400 49 0 102053 102747
102397 22 -3 102248 102486
102374 259 -9 99805 102577
